lat,lon,name_he,roads,name_en
32.72754346360954,35.284086643897986,צומת אביהוא,79/700,Avihu
32.8229837993644,35.151589692190946,צומת אבליים,70/781,Evlayim
32.82449478783536,35.15208870525374,צומת אבליים,70/781,Evlayim
32.10773495721039,34.96142150941076,מחלף אבן העזר,5/אל כרים קאסם (כפר קאסם)/הדקלים (ראש העין),Even HaEzer
31.22301390420928,34.32697761951548,צומת אבשלום,232/2211,Avshalom
31.784252604995107,35.28976215365474,מחלף אדומים,1/417,Adumim
32.12682028739236,35.510814895407385,מחלף אדם,57/90,Adam
32.710538589552826,34.97048491697957,צומת אהרונסון,4/721 (דרומי),Aharonson
31.19133799617721,34.805460639925414,צומת אוהלים,40/406 (דרום),Ohalim
32.445150547320736,34.8930216281165,מחלף אולגה,2/אהרונסון (חדרה),Olga
32.5331134151254,35.14778507004967,צומת אום אל פחם,65/אלמדינה (אום אל פחם),Um al Fahm
32.50080201485774,34.92812308079814,צומת אור עקיבא,4/6511,Or Akiva
32.5048740829184,34.91414313660583,מחלף אור עקיבא מערב,2/6511,Or Akiva West 
31.31650810993249,34.52617914479064,צומת אורים,234/241,Urim
32.71409356920863,34.97061394899422,צומת אורן,4/721  (צפון),Oren
32.91207721284798,35.166630482963335,צומת אחיהוד,70/85 (מזרחי),Ahihud
32.38131117362028,35.00496289976098,מחלף אחיטוב,581/582,Ahituv
31.932644372078503,34.89127404869138,צומת אחיסמך,40/הרמא (לוד),Ahisamakh
32.2075134001958,34.96285339947133,מחלף אייל,6/551,Eyal
29.5818517668534,34.969840538168576,מחלף אילות,90/109,Elot
32.07314160367675,35.35371264059578,צומת אירוס השומרון,458/505,Irus HaShomron
32.67453470802522,35.29125515261681,מחלף אכסאל,60/איבן עאמר (נצרת),Iksal
31.989437960396163,34.906725531961385,צומת אל על,40/46,El Al
32.714599825923486,35.54691016250309,צומת אלומות,767/768,Alumot
32.709027481497515,35.142852669154585,צומת אלונים,75/7513,Alonim
32.0554220637096,34.83469522125141,מחלף אלוף שדה,4/שיבא (רמת גן),Aluf Sade
32.953713548481936,35.541540354019034,מחלף אליפלט,89/90,Elifelet
32.63638338438134,35.06505111735124,מחלף אליקים,70/672,Elyakim
32.164296873882286,34.92630106414369,מחלף אלישמע,40/531,Elishama
31.75315983288278,34.66275078345485,צומת אמונים,4/3711,Emunim
32.778831393306376,35.71266251704043,צומת אפיק,98/789,Afik
32.10920962645951,35.165630233162524,צומת אריאל,1/505/4775,Ari'el
